time,2022-11-08 Beg13_MBS_TGr.D,2022-11-08 Beg14_MBS_TGr_4.3.D,2022-11-08 Beg25_SBF_TGr.D,2022-11-08 Beg26_SBF_TGr.D,2022-11-08 Beg27_SBF_TGr_4.3.D,2022-11-08 Beg37_SB_TGr.D,2022-11-08 Beg38_SB_TGr.D,2022-11-08 Beg39_SB_TGr_4.3.D,2022-11-08 Beg61_BfrM_TGr.D,2022-11-11 Beg43_BS_TGr_4.5.D,2022-11-11 Beg44_BS_TGr_4.3.D,2022-11-11 Beg66_BfrM_TGr_4.5.D,2022-11-16 Beg34_SBF_TGr_4.4.D,2022-11-30 Beg36_BfrM_Tgr_5.D,2022-11-30 Beg43_SB_TGr_5.D,2022-12-13 Beg62_BfrM_TGr_4.5.D,2022-12-13 Beg63_BfrM_TGr_4.5.D,2022-12-14 Beg15_MBS_TGr_4.5.D,2022-12-14 Beg16_MBS_TGr_4.5.D,2022-12-14 Beg27_SBF_TGr_4.5.D,2022-12-14 Beg28_SBF_TGr_4.5.D,2022-12-14 Beg39_SB_TGr_4.5.D,2022-12-14 Beg40_SB_TGr_4.5.D,2022-12-14 Beg54_S_TGr_4.5.D,2022-12-14 Beg64_BfrM_TGr_4.5.D,2022-12-14 Beg65_BfrM_TGr_4.5.D,2022-12-15 Beg17_MBS_TGr_4.5.D,2022-12-15 Beg29_SBF_TGr_4.5.D,2022-12-15 Beg41_SB_TGr_4.5.D,2022-12-15 Beg4_SM_TGr_9.D,2022-12-15 Beg55_S_TGr_9.D,2022-12-15 Beg5_SM_TGr_9.D,2022-12-15 Beg66_BfrM_TGr_4.5.D
2.09,191840.2857142857,325875.25,241315.25,184099.75,202455.375,211493.375,187873.625,238442.625,201225.5,249337.75,398602.25,244255.75,176146.0,121564.25,120650.5,83831.4,72648.0,95395.25,82398.0,101590.0,129918.4,84443.25,115223.25,81228.8,62992.6,68485.75,54659.25,76038.25,79759.0,70740.6,66688.0,69567.0,74002.5
2.1,187267.25,294725.5,230015.0,178422.75,198140.625,227427.625,184045.75,230870.0,200387.5,257074.125,391780.375,252787.5,174623.2857142857,151051.125,134439.25,130629.71428571429,108950.0,81384.0,83974.125,91644.625,127352.28571428571,94647.375,127079.5,92484.14285714286,74700.71428571429,84083.75,69005.25,93298.25,100018.125,94594.42857142857,77279.625,90859.57142857143,90966.125
2.11,181775.14285714287,273930.5714285714,215687.7142857143,181885.2857142857,208841.7142857143,250236.85714285713,190307.14285714287,229468.875,218262.42857142858,269506.375,375912.875,259468.75,179844.375,158924.0,136114.75,113567.5,137426.7142857143,74687.25,69300.25,81591.5,112309.75,84475.75,129363.25,78772.125,74295.0,79115.375,102144.125,111355.0,77363.25,83382.75,107503.25,119183.75,70156.25
2.12,189386.75,254531.375,208389.0,186326.0,220651.75,253254.375,203981.75,230148.75,242213.125,248730.14285714287,363337.0,259136.2857142857,194856.7142857143,135967.42857142858,148372.2857142857,69980.14285714286,98029.5,80216.0,65765.42857142857,86059.85714285714,110257.14285714286,76637.42857142857,108670.28571428571,56129.0,59124.0,64748.57142857143,94609.85714285714,102542.28571428571,58967.71428571428,51634.142857142855,81247.71428571429,81058.0,59824.57142857143
2.13,199529.42857142858,247443.57142857142,211847.2857142857,180334.42857142858,229892.7142857143,263692.28571428574,203302.85714285713,249235.57142857142,255722.85714285713,238407.0,424520.0,324217.625,226390.125,122710.125,135366.5,57577.0,80207.125,82338.0,62470.5,83615.5,98739.625,74952.375,99170.875,52086.375,56431.75,62874.125,83990.75,95618.625,56820.25,44913.5,56408.625,53743.0,53702.125
2.14,198375.25,237239.0,284932.875,177241.875,233378.875,256551.25,210104.875,258916.0,262964.75,241231.42857142858,554203.2857142857,420074.28571428574,220119.2857142857,123457.85714285714,114902.42857142857,57423.71428571428,75852.42857142857,76995.85714285714,61973.57142857143,85877.42857142857,89151.28571428571,78400.28571428571,95720.42857142857,50209.0,51158.857142857145,61263.42857142857,85853.42857142857,87465.28571428571,51582.28571428572,41736.57142857143,49055.71428571428,47623.42857142857,54405.0
2.15,199914.5,224388.42857142858,316619.0,176395.0,220662.0,244592.42857142858,248415.42857142858,247833.7142857143,259574.7142857143,238203.75,536883.75,398267.0,209331.125,116750.5,103948.0,54608.75,69274.375,79254.125,56644.75,102495.375,82263.375,75750.0,89752.125,47333.625,49938.125,58324.0,81616.75,84743.0,50519.5,38938.5,43870.75,44644.0,48400.75
2.16,246920.7142857143,222643.5,290284.875,176230.75,210804.875,231016.875,324031.5,236995.0,261091.75,276524.71428571426,496635.5714285714,370334.0,196204.42857142858,106294.28571428571,95361.28571428571,51498.625,64667.857142857145,145019.2857142857,52480.0,231345.14285714287,156784.85714285713,83439.28571428571,83035.57142857143,44291.25,44671.0,54804.0,73891.57142857143,74754.71428571429,47883.71428571428,37065.25,40522.57142857143,41376.75,44312.71428571428
2.17,296358.375,227619.625,291122.0,232651.625,215835.625,221486.375,309489.875,256662.2857142857,305476.75,361392.5,510725.25,338285.375,187561.75,122485.75,92646.375,58173.28571428572,57178.375,282594.25,86430.625,318387.25,287673.375,187314.875,126229.5,75036.85714285714,41141.0,56199.25,63795.5,66997.25,51360.625,37623.142857142855,40737.625,40583.28571428572,50986.375
2.18,266326.14285714284,249863.14285714287,293248.5714285714,263719.5714285714,342112.71428571426,217552.14285714287,284327.85714285716,358808.375,618763.8571428572,352597.625,557712.375,377252.0,199730.875,189249.375,124333.5,99483.25,90868.42857142857,216713.0,139703.625,289093.625,232960.125,288876.71428571426,273180.125,187147.25,50310.625,111331.5,83425.75,113827.75,95837.75,54389.0,44648.0,49670.375,88286.375
